categoria,subcategoria,nome,descricao,endereco,horario,entrega,telefone,telefone2
Serviços,Assistência Técnica / Peças e acessórios,TENONÉ - JCELL,"Assistência e acessórios para Smartphones: Iphone e Android, variedades, presentes, caixa de som...","Tenoné - Alacid Nunes, esquina da 5ª linha",Segunda a sábado das 8h às 13h e das 16h às 20h / Domingo e feriados das 9h às 13h,Presencial,5591998200362,5591998200362
Serviços,Bike / Manutenção / Peças e acessórios,MAGUARI - Waldo Bike,Venda a manutenção de Bike / Assistência de celular,Conj. Maguari - Principal - entre 5 e 6,Segunda a sábado 7h às 18h,A combinar,5591985993222,5591992927245
Serviços,Empréstimo / Contabilidade / Despachante,MAGUARI - Focus Cred,"Empréstimos, consignados, Financiamento...",Conj. Maguari - Principal esquina da 8,Segunda a sexta das 8h30 às 12h e das 14h30 às 17h,Online e presencial,5591985846229,5591985846229
Serviços,Empréstimo / Contabilidade / Despachante,MAGUARI - Nazareno despachante,Serviços de despachante junto ao detran,"Conj. Maguari - Alameda 3, 78",Seguda a sábado das 9h às 18h,Online e presencial,5591988153648,5591988153648
Serviços,Empréstimo / Contabilidade / Despachante,TENONÉ - Carlos Eduardo Contabilista,Serviços contábeis em geral,"Tenoné - 1º de maio, 46 - Conj. Celso Daniel",Segunda a sábado das 9h às 17h,Atende a domicílio,5591983154088,5591983154088
Serviços,Empréstimo / Contabilidade / Despachante,SATÉLITE - Solange Abreu Serviços de Contabilidade,"Abertura/baixa de empresas, declarações acessórias, dept de pessoal e RH","Conj. Satélite - WE 8, 775 - próximo da UBS",Segunda a sexta das 9h às 18h,Visita ao cliente,5591983306746,5591983306746
Serviços,Pedreiro/Encanador  Eletricista / Pintor  Carpinteiro...,TENONÉ - Metalurgica Ideal,Serviços de metalurgia em geral,"Tenoné - Principal, WE2 Nº 17",Segunda a sábado das 7h às 12h e das 14h às 18h,Atende a domicílio,5591987211366,5591987211366
Serviços,Pedreiro/Encanador  Eletricista / Pintor  Carpinteiro...,TENONÉ - Francisco Metalurgico,Serviços de metalurgia em geral,,Segunda a sábado das 7h às 12h e das 14h às 18h,Atende a domicílio,5591982329042,5591982329042
Serviços,Pedreiro/Encanador  Eletricista / Pintor  Carpinteiro...,TENONÉ - Pedro Marceneiro,"Móveis planejados, portas, janelas...","Rua Mario Andreaza, 48",Segunda a sexta das 8h às 18h,Atende a domicílio,5591980214621,5591980214621
Serviços,Pedreiro/Encanador  Eletricista / Pintor  Carpinteiro...,TENONÉ - Metalurgica 6a Linha,"Metalurgia e Cominicação Visual, Carro de lanche","Tenoné - 6a Linha, 65C",Segunda a sexta das 8h às 18h,Atende a domicílio,5591981715904,5591981715904
Serviços,Pedreiro/Encanador  Eletricista / Pintor  Carpinteiro...,MAGUARI - Pinturas Pantera Cor de Rosa,"Pinturas em geral, Abre Letras (Letrista)","MAGUARI - Rua Belém, 20",Todos os dias das 8h às 18h,Atende a domicílio,5591920066428,5591920066428
Serviços,Pedreiro/Encanador  Eletricista / Pintor  Carpinteiro...,40 HORAS - JR Construção Eletricista Predial,"Todos os serviços de eletricista: Quadro elético, luminárias, bombas, chuveiro.","40 Horas - Passagem Oliveira, 9",Segunda a sexta 6h30 às 17h,Atende a domicílio,5591981791319,5591981791319
Serviços,Pedreiro/Encanador  Eletricista / Pintor  Carpinteiro...,40 HORAS - JR Construção Serviço de Pedreiro,Da fundação até a entrega das chaves,"40 Horas - Passagem Oliveira, 9",Segunda a sexta 6h30 às 17h,Atende a domicílio,5591981791319,5591981791319
Serviços,Xerox & Gráfica / Chaves & Carimbos /  Personalizados,TENONÉ - Eduardo Chaveiro,Serviços de chaveiro em geral,"Tenoné - Quinta linha, Box 3",Segunda a sábado 8h às 12 e 15h às 19h,Presencial,5591982585399,5591982585399
Serviços,Xerox & Gráfica / Chaves & Carimbos /  Personalizados,MAGUARI - Chaveiro Paraense,"Serviços de chaveiro em geral, carimbos",Conj. Maguari - Principal esquina da 6,Segunda a sexta das 8h às 12h e das 15h às 19h,Presencial e domicílio,5591981862500,5591982403012
Serviços,Xerox & Gráfica / Chaves & Carimbos /  Personalizados,TENONÉ - RX Informática,"Serviços de impressão em geral, revelação de fotos, platificação...","Tenoné - WE 1, Quadra 19, No 1",Segunda a sábado das 9h às 12h e das 16h às 20h,Presencial,5591985076018,5591985076018
Serviços,Internet / Entretenimento / Games / Streaming,MAGUARI - Curta Movie Info,Cinema em casa em 4k,"Conj. Maguari - R. L. Icoaraci, 380",Todos os dias das 9h às 22h,Online,5591999811179,5591999811179
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
