categoria,subcategoria,nome,descricao,endereco,horario,entrega,telefone,telefone2
Construção,Depósito de Material / Estâncias,MAGUARI - Evelyn Materiais de Construção,"Mat. de construção em geral, areia, seixo, cimento, madeira, elétrico, hidráulico e acabamento","Conj. Maguari - Principal, 119 - entre 20 e 21",Segunda a sexta das 7h30 às 16h  / Sábado 7h30 às 12h30,Grátis,5591989709043,5591980589892
Construção,Depósito de Material / Estâncias,TENONÉ - Massa Materiais de Construção,"Material de construção, areia, seixo, cimento, tijolos e ferro, Tintas, Hidráulica e Elétrica","Tenoné - Alacid Nunes, 200 - frente a Paraibana",Segunda sábado das 7h30 às 13h e das 15h30 às 19h30 / Domingo das 8h às 13h,Grátis,5591980124574,5591982173065
Construção,Depósito de Material / Estâncias,SATEÉLITE - A Construtora,"Material de acabamento, Hidráulico e Eletrico","Satélite - WE 8, 655 esquina da SN 5",Segunda a sexta das 8h às 12h e das 15h às 18h / Sãbado e domiengo das 8h às 12h,A combinar,5591980615419,5591980615419
Construção,Ferramentas / Ferragens,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Construção,Forro / Gesso,MAGUARI - Só Gesso,"Materias em gesso, placas, sancas...","Augusto Montenegro, 33 em frente à SEDUC",Segunda a sábado das 8h às 12h e das 14h30 às 18h,Visita para orçamento,5591989693108,5591989693108
Construção,Marcenaria / Esquadrias / Vidraçarias,MAGUARI - M R Portas,"Portas, janelas, caxilhos e alisares","Conj. Maguari - Principal, 35 entre 7 e 8",Segunda a sábado das 8h às 12h e das 14h às 18h,Grátis,5591982705270,5591985066191
Construção,Tintas / Elétrica / Hidráulica,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Educação,Aulas particulares,MAGUARI - José Alberto Dulluca,"Aulas de matemática, estatística e mat. Financeira / Análise estatística de dados","Conj. Maguari - Alameda 3, 78",Segunda a sexta 9h às 19h,Presencial,5511975253343,5511975253343
Educação,Autoescolas,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Educação,Curso de Idiomas,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Educação,Curso Técnicos / Profissionalizantes,MAGUARI - Educa Centro,"Cursos profissionalizantes, técnico, EJA, Bombeiro civil","Augusto Montenegro, 95 - frente ao Comando Geral",Segunda a sexta 8h às 22h / Sábado e Domingo 8h às 15h,"Presencial, treinamento in company (Brigada de incêndio)",5591981803131,5591984191930
Educação,Cursos Prepatórios / ENEM,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Educação,Ensino de Esportes,TENONÉ - Clube Esportivo Tenoné,Aluguel de campo de futebol,"Tenoné - Alacid Nunes, 35 - frente ao residencial Nazereno","Terças, quartas, quintas e sábados das 8h às 20h",Presencial,5591986090108,5591986090108
Educação,Escola de Música,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Educação,Escolas Infantis / Fundamental / Ensino Médio,MAGUARI - Escola Primeira Infância,Baby class (2 anos) até o 5º ano,"Conj. Maguari - Alameda 3, 80",Segunda a sexta das 7h30 às 12h,Presencial,5591999233088,5591999233088
Educação,Escolas Infantis / Fundamental / Ensino Médio,TENONÉ - Instituto Azevedo,"Baby class, Fundamental I e I, Ensino médio, EJA e Cursos profissionalizantes","Tenoné - Alacid Nunes, 990",Turmas: Manhã e tarde,Presencial,5591981569155,5591981569155
